name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,83,31.35,3,1744,581.33
Node_1,true,false,100,86.16,5,2848,569.6
Node_3,true,false,94,52.49,4,2418,604.5
Node_19,false,true,10,2.49,2,1152,576.0
Node_2,false,false,75,30.99,3,1126,375.33
Node_4,false,false,36,14.6,3,1897,632.33
Node_6,false,false,62,22.89,3,1089,363.0
Node_17,false,true,52,28.58,2,1581,790.5
Node_8,true,false,42,13.64,4,1793,448.25
Node_7,false,false,62,27.67,3,1525,508.33
Node_20,false,false,10,0.32,2,1529,764.5
Node_5,true,false,54,19.22,3,1052,350.67
Node_18,false,false,16,4.79,2,1556,778.0
Node_9,false,false,85,39.78,3,1569,523.0
Node_11,false,false,100,77.14,5,2873,574.6
Node_10,false,false,80,25.48,4,2269,567.25
Node_12,false,false,64,30.74,3,3003,1001.0
Node_14,false,false,39,17.05,3,1310,436.67
Node_15,false,false,21,6.85,3,1464,488.0
Node_24,true,false,48,20.68,3,2807,935.67
Node_25,false,false,25,8.33,2,1262,631.0
Node_13,false,false,24,3.97,3,1734,578.0
Node_21,false,true,3,0.2,2,2709,1354.5
Node_22,false,false,48,20.08,3,2234,744.67
Node_23,false,false,57,23.66,3,1961,653.67
Node_16,true,false,13,1.64,2,1594,797.0
Node_26,false,false,28,11.69,2,1836,918.0
Node_27,false,false,3,0.12,2,1345,672.5
END_OF_DATA
Erlang: 600, Seed_Value: 42, Demands_Count: 250000

CREATED_ON:2018-11-22 09:23:38.567
