name,isReplica,isInternational,MaxOccupiedReg,AvgOccupeidReg,LinkCount,SumLinkLength,AvgLinkLength
Node_0,true,false,75,31.03,3,1744,581.33
Node_1,true,false,100,85.2,5,2848,569.6
Node_3,true,false,88,51.86,4,2418,604.5
Node_19,false,true,9,2.45,2,1152,576.0
Node_2,false,false,76,30.7,3,1126,375.33
Node_4,false,false,42,14.19,3,1897,632.33
Node_6,false,false,60,23.63,3,1089,363.0
Node_17,false,true,55,28.37,2,1581,790.5
Node_8,true,false,45,14.41,4,1793,448.25
Node_7,false,false,63,27.56,3,1525,508.33
Node_20,false,false,14,0.46,2,1529,764.5
Node_5,true,false,63,19.72,3,1052,350.67
Node_18,false,false,14,4.78,2,1556,778.0
Node_9,false,false,86,39.99,3,1569,523.0
Node_11,false,false,100,78.05,5,2873,574.6
Node_10,false,false,72,25.88,4,2269,567.25
Node_12,false,false,70,30.8,3,3003,1001.0
Node_14,false,false,36,16.67,3,1310,436.67
Node_15,false,false,24,7.07,3,1464,488.0
Node_24,true,false,47,21.26,3,2807,935.67
Node_25,false,false,25,8.23,2,1262,631.0
Node_13,false,false,22,4.09,3,1734,578.0
Node_21,false,true,3,0.23,2,2709,1354.5
Node_22,false,false,42,20.25,3,2234,744.67
Node_23,false,false,56,23.27,3,1961,653.67
Node_16,true,false,8,1.59,2,1594,797.0
Node_26,false,false,29,12.25,2,1836,918.0
Node_27,false,false,3,0.16,2,1345,672.5
END_OF_DATA
Erlang: 600, Seed_Value: 9528, Demands_Count: 250000

CREATED_ON:2018-11-22 15:38:38.031
