@relation results

@attribute seed numeric
@attribute demands_count numeric
@attribute erlang numeric
@attribute usage_1 numeric
@attribute usage_2 numeric
@attribute usage_3 numeric
@attribute usage_4 numeric
@attribute usage_5 numeric
@attribute usage_class {B,E,A,D,C}
@attribute blocked_all numeric

@data
120,100000,1000,67,61,42,35,14,B,0.478676
120,100000,1000,77,55,48,27,17,E,15.492284
120,100000,1000,81,67,55,24,11,E,14.115043
120,100000,1000,83,53,49,12,3,E,10.52451
120,100000,1000,63,53,35,27,14,E,11.352515
120,100000,1000,78,74,30,13,11,E,11.657458
120,100000,1000,63,44,43,32,1,B,0.108848
120,100000,1000,89,64,58,36,15,E,17.465942
120,100000,1000,94,73,47,18,17,E,13.11356
120,100000,1000,88,80,57,28,6,E,11.429428
120,100000,1000,78,67,40,36,15,E,12.102674
120,100000,1000,94,74,38,24,11,E,13.781554
120,100000,1000,66,28,20,19,16,E,12.248877
120,100000,1000,70,51,36,34,4,A,0.059633
120,100000,1000,94,61,35,30,8,E,11.448233
120,100000,1000,82,57,44,15,8,D,8.010934
120,100000,1000,94,59,48,22,2,D,6.170858
120,100000,1000,95,72,50,38,19,E,17.823657
120,100000,1000,92,67,41,22,18,E,13.992134
120,100000,1000,81,80,59,27,10,E,15.732765
120,100000,1000,74,56,33,30,17,E,11.134227
120,100000,1000,86,61,60,10,6,D,7.826782
120,100000,1000,89,80,29,18,12,E,13.663389
120,100000,1000,64,42,22,17,11,E,13.24189
120,100000,1000,69,62,27,26,16,B,0.114438
120,100000,1000,81,36,17,13,10,E,14.256249
120,100000,1000,86,69,56,28,11,E,14.592956
120,100000,1000,58,41,38,23,11,B,0.534836
120,100000,1000,53,45,33,16,11,C,2.651309
120,100000,1000,88,64,39,19,5,E,14.691639
120,100000,1000,91,72,42,37,10,D,9.768167
120,100000,1000,67,42,28,7,2,E,10.74678
120,100000,1000,83,58,49,29,7,B,0.776588
120,100000,1000,83,77,38,28,6,D,7.664654
120,100000,1000,95,78,42,11,9,E,14.403214
120,100000,1000,93,76,51,36,8,E,14.50105
120,100000,1000,88,66,59,38,20,E,15.345403
120,100000,1000,65,46,35,5,3,A,0.098683
120,100000,1000,98,63,39,33,1,D,8.135622
120,100000,1000,82,77,34,15,9,D,7.192501
120,100000,1000,83,56,46,24,4,C,1.264666
120,100000,1000,89,54,38,19,7,E,14.091325
120,100000,1000,68,65,57,24,16,A,0.031934
120,100000,1000,94,64,57,27,18,E,17.932335
120,100000,1000,99,75,52,14,13,E,14.271326
120,100000,1000,85,74,50,38,17,E,14.655724
120,100000,1000,98,79,30,28,4,E,10.692906
120,100000,1000,55,48,46,14,12,B,0.112321
120,100000,1000,66,61,36,28,9,A,0.023802
120,100000,1000,50,48,37,13,11,B,0.163737
120,100000,1000,66,54,51,33,8,A,0.02465
120,100000,1000,68,60,55,35,14,A,0.046419
120,100000,1000,92,54,50,23,15,E,15.50194
120,100000,1000,62,51,28,23,1,A,0.062513
120,100000,1000,93,71,56,20,11,E,15.98807
120,100000,1000,80,74,55,27,17,E,12.591684
120,100000,1000,91,77,47,39,4,D,8.143753
120,100000,1000,93,59,27,17,2,E,14.689013
120,100000,1000,81,53,48,20,8,B,0.114608
120,100000,1000,91,70,38,20,16,E,13.627643
120,100000,1000,76,75,59,30,14,E,13.704133
120,100000,1000,96,67,18,17,15,E,12.267174
120,100000,1000,99,60,55,12,11,E,13.150492
120,100000,1000,79,68,43,24,20,E,12.612352
120,100000,1000,99,79,59,18,11,E,17.057742
